title,author,belongTo,id,subTitle
前詩似不盡意别成二小詩  其二,王洋,json/poet.song.97000.json,e01e6c16-2abc-581b-b62b-4b1bf931c130,
五老峰,王洋,json/poet.song.97000.json,1da0f8c2-ac09-5015-9bb8-a8ad8ba10f5b,
遊龜峰,王洋,json/poet.song.97000.json,63262239-0020-50a0-8bda-06cd9a627feb,
建炎八月乘家舟往來龜山,王洋,json/poet.song.97000.json,eb5ab364-e3d8-5a75-9b91-5ca202ab1cd7,
予寓家龜溪賦廪郡故事郡將始至及其將行皆一奉謁予非異人也不敢異衆故自壬戌三月至癸亥暮春計裁一年往來三宿何山寺退而自笑復自憐也質明將發縱觀殿藏奥曲覩慧樞二士經營成立之跡私有感焉因賦二絕  其一,王洋,json/poet.song.97000.json,900434e4-246f-5313-96ff-903a9824593d,
予寓家龜溪賦廪郡故事郡將始至及其將行皆一奉謁予非異人也不敢異衆故自壬戌三月至癸亥暮春計裁一年往來三宿何山寺退而自笑復自憐也質明將發縱觀殿藏奥曲覩慧樞二士經營成立之跡私有感焉因賦二絕  其二,王洋,json/poet.song.97000.json,647c8d55-b915-52c5-915f-02babc27695e,
四面山田中獨出二並峰正如假山,王洋,json/poet.song.97000.json,b7791644-29fb-5c00-9cf4-e5db4f36f912,
金山,王洋,json/poet.song.97000.json,99eb3c59-6022-5b82-bbb5-5331777421f9,
登巖頂謁靖應祠,王洋,json/poet.song.97000.json,47c7be28-9c5f-5a14-b8e9-350f49d9a4d1,
弋陽道中題丫頭巖,王洋,json/poet.song.97000.json,87d854bc-3808-581c-9913-c0b368795dc3,
鄭吏部開山路成二巖對棋於上因成二詩 壽松巖,王洋,json/poet.song.97000.json,ef4710b8-33ed-585c-b280-0a5b9d070559,
鄭吏部開山路成二巖對棋於上因成二詩 白雲洞,王洋,json/poet.song.97000.json,52c7df69-92f8-5809-882d-238d65cae727,
正月九日攜兒姪遊寶慶寺,王洋,json/poet.song.97000.json,c52676a2-9594-565c-b86e-0fd0636202ba,
過龍居寺偶題寺有新取華嚴方結閣貯之  其一,王洋,json/poet.song.97000.json,e73786c0-2c98-5dd3-938e-c159c9c85c3b,
過龍居寺偶題寺有新取華嚴方結閣貯之  其二,王洋,json/poet.song.97000.json,3c31b1db-7b2d-5b43-952a-50cc3a58a672,
九月二十日遊桃源寺,王洋,json/poet.song.97000.json,b6ce22dc-7035-518f-b306-83600b7e6d4c,
香爐寺,王洋,json/poet.song.97000.json,ad441631-83bb-51d3-8830-4c323cf52420,
題源師小房源善畫,王洋,json/poet.song.97000.json,db1fdeed-ac63-51a8-b8a7-ccb8fbd76bc1,
謁龍潭,王洋,json/poet.song.97000.json,8b0e0f33-2f8f-577d-a5fc-88492ac6a24c,
煮泉石,王洋,json/poet.song.97000.json,9900a256-c13b-594f-9d07-dcb846dc66e5,
題山庵,王洋,json/poet.song.97000.json,a7845e27-c2ea-5c11-bb8b-69560aa55f60,
題宓庵壁,王洋,json/poet.song.97000.json,faf9822e-c800-5778-9c05-5111c892b413,
宿臨江院,王洋,json/poet.song.97000.json,dd9edfbf-5a9a-547e-ae0d-1bcefbb9deaa,
楚王廟,王洋,json/poet.song.97000.json,6536b727-50c3-5661-85c9-6f725400a41d,
題趙侯廟,王洋,json/poet.song.97000.json,be030418-28b0-5f45-8c8f-9a8a4aada47e,
紫極二仙翁祠,王洋,json/poet.song.97000.json,d7559f6e-1970-58cc-aad8-7e7120319303,
廣孝寺,王洋,json/poet.song.97000.json,7a6397a0-e02d-58b0-bc95-6f07f63148a3,
題演法觀,王洋,json/poet.song.97000.json,aa72857b-a978-5be6-a057-562eaa8514de,
遊梅竹,王洋,json/poet.song.97000.json,095eb315-c4ac-527f-9463-698ba42b599d,
圓通至樂亭見月戲留,王洋,json/poet.song.97000.json,8140e1c8-7fb0-54ee-bd6b-de8ff2361bf8,
題會蠡亭  其一,王洋,json/poet.song.97000.json,c617b2da-57a0-5cc8-968d-4103aeeaa7dc,
題會蠡亭  其二,王洋,json/poet.song.97000.json,13ba91b0-159e-51f1-9529-cd74682422d4,
趙康州徐節孝祠,王洋,json/poet.song.97000.json,8138ec19-d460-53c6-a009-68435b4b0e35,
治廳,王洋,json/poet.song.97000.json,147f32b0-a741-53d1-8cd2-527f9316b20a,
題沈氏小橋,王洋,json/poet.song.97000.json,b31c0ad7-4506-54bc-82b8-fcf447bbff40,
再題棲賢橋,王洋,json/poet.song.97000.json,2ab0be64-4771-522f-8159-0efa905d9f1d,
問花塢,王洋,json/poet.song.97000.json,69f603cd-fd2c-5be2-b316-5fe3d1376e27,
故市  其一,王洋,json/poet.song.97000.json,89c13bc6-9d09-50d6-8ea8-b3a68b71aac8,
故市  其二,王洋,json/poet.song.97000.json,007785f3-bf93-5a5b-b9d0-bd465143bf75,
樂平道中朱門當道詩二首  其一,王洋,json/poet.song.97000.json,ee609b3a-b932-56fa-8b05-29e1c4898147,
樂平道中朱門當道詩二首  其二,王洋,json/poet.song.97000.json,a82b1058-88dd-5a7c-afa8-b219e2c67601,
尋趙安道舊居趙與予爲昭武隔政交承窗前種竹尚存壁間有題字丁寧主僧愛竹因以有感二首  其一,王洋,json/poet.song.97000.json,3a05067e-eaf5-52e1-a069-253a9641f8e7,
尋趙安道舊居趙與予爲昭武隔政交承窗前種竹尚存壁間有題字丁寧主僧愛竹因以有感二首  其二,王洋,json/poet.song.97000.json,1e87cb39-ffa2-5744-b15b-7ccea3211f86,
